epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,264.853,0.92913,1.90452,0.95666,0.98997,0.98654,0.98698,0.82276,0.64382,1.8926,0.86553,0.00066,0.00066,0.00066
2,528.172,0.83439,1.21912,0.95179,0.98343,1,0.9948,0.84155,0.62583,1.03351,0.85703,0.0013004,0.0013004,0.0013004
3,799.229,0.82389,1.06256,0.93169,0.99883,1,0.995,0.81081,0.70792,0.9839,0.85864,0.0019144,0.0019144,0.0019144
4,1059.32,0.80032,0.99948,0.91934,0.99824,1,0.995,0.80658,0.71725,0.887,0.86395,0.0018812,0.0018812,0.0018812
5,1351.57,0.76113,0.87327,0.92005,0.99863,1,0.995,0.86246,0.51687,0.72777,0.83402,0.0018416,0.0018416,0.0018416
6,1791.28,0.74164,0.76596,0.9124,0.99856,1,0.995,0.83457,0.61598,0.70225,0.83409,0.001802,0.001802,0.001802
7,2250.33,0.7046,0.71995,0.90665,0.99912,1,0.995,0.85262,0.56466,0.58404,0.83175,0.0017624,0.0017624,0.0017624
8,2661.27,0.69045,0.64379,0.89431,0.98007,1,0.995,0.87681,0.51731,0.551,0.8077,0.0017228,0.0017228,0.0017228
9,3088.06,0.65808,0.59624,0.87548,0.99728,1,0.995,0.91361,0.44792,0.47502,0.80814,0.0016832,0.0016832,0.0016832
10,3532.62,0.61881,0.54395,0.88203,0.98902,1,0.9949,0.89758,0.45502,0.45685,0.81342,0.0016436,0.0016436,0.0016436
11,3974.9,0.59467,0.52904,0.88102,0.99922,1,0.995,0.92506,0.40466,0.41282,0.79378,0.001604,0.001604,0.001604
12,28743.8,0.53437,0.49339,0.86557,0.99918,1,0.995,0.90809,0.38469,0.39796,0.79451,0.0015644,0.0015644,0.0015644
13,29164.8,0.52296,0.48427,0.85182,0.99914,1,0.995,0.91249,0.4044,0.40733,0.79421,0.0015248,0.0015248,0.0015248
14,272.579,0.93506,0.72422,0.88786,0.99903,1,0.995,0.80064,0.72217,0.57024,0.80307,0.0014852,0.0014852,0.0014852
14,29699.3,0.54652,0.46522,0.86224,0.99925,1,0.995,0.91363,0.39641,0.38981,0.79853,0.0014852,0.0014852,0.0014852
15,530.481,0.90073,0.64064,0.8764,0.98854,1,0.9949,0.86552,0.55661,0.49789,0.79582,0.0014456,0.0014456,0.0014456
16,891.289,0.81449,0.6001,0.85979,0.99922,1,0.995,0.84632,0.62924,0.47572,0.79679,0.001406,0.001406,0.001406
15,30366,0.56064,0.45483,0.85622,0.99933,1,0.995,0.91363,0.38122,0.37435,0.79032,0.0014456,0.0014456,0.0014456
17,1169.96,0.76539,0.57178,0.85809,0.99928,1,0.995,0.87251,0.54135,0.4562,0.79954,0.0013664,0.0013664,0.0013664
18,1394.69,0.68926,0.5219,0.84745,0.99926,1,0.995,0.87744,0.54815,0.44263,0.78908,0.0013268,0.0013268,0.0013268
16,30884.1,0.47699,0.41263,0.84269,0.99931,1,0.995,0.93505,0.33825,0.30989,0.7807,0.001406,0.001406,0.001406
19,1671.39,0.70019,0.516,0.85132,0.99916,1,0.995,0.88139,0.49768,0.44819,0.79296,0.0012872,0.0012872,0.0012872
20,1962.38,0.66656,0.50151,0.85053,0.99937,1,0.995,0.90531,0.44324,0.40703,0.78878,0.0012476,0.0012476,0.0012476
17,31451.5,0.49779,0.42153,0.84186,0.99922,1,0.995,0.94624,0.33346,0.32212,0.78013,0.0013664,0.0013664,0.0013664
21,2206.66,0.65099,0.4786,0.83604,0.99918,1,0.995,0.90771,0.44861,0.38026,0.77833,0.001208,0.001208,0.001208
22,2507.44,0.65028,0.47236,0.83563,0.99932,1,0.995,0.89266,0.48816,0.39306,0.78076,0.0011684,0.0011684,0.0011684
18,32050.9,0.50155,0.40783,0.85373,0.99938,1,0.995,0.93047,0.35151,0.31399,0.78618,0.0013268,0.0013268,0.0013268
23,2805.63,0.65191,0.47426,0.83156,0.99932,1,0.995,0.92161,0.42288,0.38354,0.7756,0.0011288,0.0011288,0.0011288
24,3102.56,0.66959,0.47735,0.84698,0.99928,1,0.995,0.91511,0.47601,0.40371,0.78393,0.0010892,0.0010892,0.0010892
19,32616.4,0.48336,0.39729,0.85578,0.99941,1,0.995,0.94117,0.32569,0.30559,0.78282,0.0012872,0.0012872,0.0012872
25,3356.1,0.60198,0.4488,0.84236,0.99922,1,0.995,0.9021,0.45193,0.37481,0.78186,0.0010496,0.0010496,0.0010496
26,3603.4,0.58546,0.43809,0.83491,0.99934,1,0.995,0.92577,0.40069,0.35925,0.77641,0.00101,0.00101,0.00101
20,33121.8,0.50956,0.41018,0.85158,0.99929,1,0.995,0.93124,0.35574,0.32693,0.77974,0.0012476,0.0012476,0.0012476
27,3854.12,0.58005,0.42481,0.83939,0.99937,1,0.995,0.92344,0.40487,0.34889,0.77516,0.0009704,0.0009704,0.0009704
28,4096.79,0.57867,0.43217,0.82499,0.9994,1,0.995,0.91638,0.37284,0.35599,0.77587,0.0009308,0.0009308,0.0009308
21,33617.6,0.46328,0.3915,0.83485,0.99935,1,0.995,0.95526,0.31286,0.30508,0.78051,0.001208,0.001208,0.001208
